,train_acc,test_acc,time,AUC,TPR@0.01FPR,TPR@0.001FPR
pubmed-GraphSAGE_lira,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(2.5031692743301392, 0.049214501336887595)","(0.5344144551968444, 0.003521978318613136)","(0.012761209170217083, 0.0028525517537380802)","(0.0012375735443294787, 0.0007561227491817498)"
pubmed-GraphSAGE_rmia,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(0.5096328496932984, 0.0023804511203566127)","(0.5708585344638851, 0.006309336818805039)","(0.030432136335970784, 0.0041716577520713735)","(0.005984986812740921, 0.0017739032390583906)"
pubmed-GraphSAGE_base,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(0.004533576965332031, 0.0001627342529365343)","(0.5708585550442167, 0.006309350773458103)","(0.030432136335970784, 0.0041716577520713735)","(0.005984986812740921, 0.0017739032390583906)"
pubmed-GraphSAGE_g-base-MI,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(675.6633680343627, 177.94055553865405)","(0.6278438550484438, 0.006344127447098517)","(0.05145059849868128, 0.005204359980947049)","(0.011868533171028605, 0.004871888384757975)"
pubmed-GraphSAGE_g-base-MIA,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(681.5637771129608, 200.19195372797256)","(0.6300020115216105, 0.005599653310214848)","(0.0545546764049503, 0.00773636275976128)","(0.014424832623250153, 0.005749410144376287)"
pubmed-GraphSAGE_g-base-MH,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(795.2720163822174, 12.548279529691587)","(0.6353922946662243, 0.006599419466048803)","(0.05930208967336174, 0.0057655670324708854)","(0.01712314871170623, 0.005587297503841574)"
pubmed-GraphSAGE_g-base-Gibbs,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(1968.644772720337, 342.13562239660166)","(0.6419931396699434, 0.004671894773939915)","(0.06382633394197605, 0.0063259815987971235)","(0.017650639074863052, 0.004492793032474387)"
pubmed-GraphSAGE_g-base-Gibbs-2,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(3513.4507710695266, 1322.4646048482382)","(0.6434523880819958, 0.005161047419498094)","(0.06301481030635017, 0.004985424241317157)","(0.016189896530736457, 0.004941139441763456)"
pubmed-GraphSAGE_g-base-GT,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(82.81633245944977, 17.786334397208357)","(0.7043404145726694, 0.004479484819050463)","(0.10628930817610063, 0.007117882320231751)","(0.04343680259687564, 0.006972406162679542)"
pubmed-GraphSAGE_lira-offline,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(2.523999643325806, 0.06680250572975305)","(0.5538186393675977, 0.006319544906563883)","(0.016149320348955165, 0.002110741619580435)","(0.0018462162710488942, 0.0011983720369748312)"
pubmed-GraphSAGE_rmia-offline,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(1.8317866563796996, 0.011469768404884508)","(0.5657779071045816, 0.007068555606877432)","(0.031507405153175086, 0.002685471988133009)","(0.004848853722864678, 0.0013471353459958636)"
pubmed-GraphSAGE_base-offline,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(1.5014618396759034, 0.012940500983097819)","(0.5676105382987416, 0.007148738120509139)","(0.03323189287888009, 0.002559517758232527)","(0.006329884357881924, 0.001041630972042478)"
pubmed-GraphSAGE_g-base-MI-offline,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(443.55773470401766, 97.25171559222383)","(0.6184512016258792, 0.006280626312691812)","(0.051896936498275516, 0.0052072063996721155)","(0.014790018259281801, 0.004121479600274418)"
pubmed-GraphSAGE_g-base-MIA-offline,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(436.92397382259367, 73.77578992365679)","(0.6214939295636505, 0.005224929862548279)","(0.054189490768918644, 0.004263830827816805)","(0.014749442077500508, 0.0052514813100468915)"
pubmed-GraphSAGE_g-base-Gibbs-offline,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(1377.2999984979629, 376.4172521315456)","(0.628571972774197, 0.0068517298597275894)","(0.05707039967539055, 0.005873078185002828)","(0.017163724893487522, 0.004916420227850145)"
pubmed-GraphSAGE_g-base-GT-offline,"(0.9641509413719177, 0.0013405466986482365)","(0.8730601489543914, 0.0024038137861114185)","(56.2029892206192, 14.219863844441262)","(0.6781717017888547, 0.005161174573079322)","(0.08443903428687362, 0.00588900062699184)","(0.026536822884966522, 0.003765941862502611)"
