,FPR_bayes-optimal-cora-GCN-MCMC-large,TPR_bayes-optimal-cora-GCN-MCMC-large
0,0.0,0.0
1,0.0,0.004
2,0.0,0.06
3,0.008,0.06
4,0.008,0.08
5,0.012,0.08
6,0.012,0.1
7,0.016,0.1
8,0.016,0.112
9,0.02,0.112
10,0.02,0.184
11,0.024,0.184
12,0.024,0.192
13,0.028,0.192
14,0.028,0.236
15,0.032,0.236
16,0.032,0.248
17,0.04,0.248
18,0.04,0.252
19,0.044,0.252
20,0.044,0.256
21,0.048,0.256
22,0.048,0.264
23,0.052,0.264
24,0.052,0.3
25,0.056,0.3
26,0.056,0.312
27,0.06,0.312
28,0.06,0.324
29,0.064,0.324
30,0.064,0.348
31,0.068,0.348
32,0.068,0.356
33,0.072,0.356
34,0.072,0.368
35,0.076,0.368
36,0.076,0.376
37,0.08,0.376
38,0.08,0.38
39,0.088,0.38
40,0.088,0.384
41,0.092,0.384
42,0.092,0.4
43,0.096,0.4
44,0.096,0.404
45,0.1,0.404
46,0.1,0.452
47,0.104,0.452
48,0.104,0.46
49,0.108,0.46
50,0.108,0.472
51,0.116,0.472
52,0.116,0.52
53,0.12,0.52
54,0.12,0.528
55,0.128,0.528
56,0.128,0.532
57,0.132,0.532
58,0.132,0.536
59,0.14,0.536
60,0.14,0.54
61,0.144,0.54
62,0.144,0.548
63,0.152,0.548
64,0.152,0.564
65,0.164,0.564
66,0.164,0.568
67,0.168,0.568
68,0.168,0.576
69,0.176,0.576
70,0.176,0.592
71,0.184,0.592
72,0.184,0.596
73,0.188,0.596
74,0.188,0.604
75,0.196,0.604
76,0.196,0.608
77,0.2,0.608
78,0.2,0.616
79,0.204,0.616
80,0.204,0.628
81,0.208,0.628
82,0.208,0.632
83,0.212,0.632
84,0.212,0.64
85,0.216,0.64
86,0.216,0.648
87,0.22,0.648
88,0.22,0.656
89,0.232,0.656
90,0.232,0.66
91,0.236,0.66
92,0.236,0.676
93,0.244,0.676
94,0.244,0.704
95,0.248,0.704
96,0.248,0.708
97,0.252,0.708
98,0.252,0.748
99,0.268,0.748
100,0.268,0.752
101,0.276,0.752
102,0.276,0.76
103,0.28,0.76
104,0.28,0.768
105,0.292,0.768
106,0.292,0.776
107,0.3,0.776
108,0.3,0.78
109,0.304,0.78
110,0.304,0.788
111,0.316,0.788
112,0.316,0.804
113,0.32,0.804
114,0.32,0.808
115,0.336,0.808
116,0.336,0.812
117,0.34,0.812
118,0.34,0.824
119,0.364,0.824
120,0.364,0.832
121,0.376,0.832
122,0.376,0.84
123,0.388,0.84
124,0.388,0.848
125,0.408,0.848
126,0.408,0.852
127,0.412,0.852
128,0.412,0.86
129,0.424,0.86
130,0.424,0.864
131,0.428,0.864
132,0.428,0.868
133,0.432,0.868
134,0.432,0.88
135,0.456,0.88
136,0.456,0.884
137,0.468,0.884
138,0.468,0.888
139,0.496,0.888
140,0.496,0.892
141,0.512,0.892
142,0.512,0.9
143,0.532,0.9
144,0.532,0.904
145,0.544,0.904
146,0.544,0.908
147,0.556,0.908
148,0.556,0.916
149,0.56,0.916
150,0.56,0.92
151,0.572,0.92
152,0.572,0.924
153,0.58,0.924
154,0.58,0.928
155,0.584,0.928
156,0.584,0.932
157,0.596,0.932
158,0.596,0.936
159,0.612,0.936
160,0.612,0.94
161,0.632,0.94
162,0.632,0.944
163,0.7,0.944
164,0.7,0.948
165,0.728,0.948
166,0.728,0.952
167,0.788,0.952
168,0.788,0.956
169,0.804,0.956
170,0.804,0.96
171,0.812,0.96
172,0.812,0.964
173,0.832,0.964
174,0.832,0.968
175,0.844,0.968
176,0.844,0.972
177,0.92,0.972
178,0.92,0.976
179,0.928,0.976
180,0.928,0.98
181,0.932,0.98
182,0.932,0.984
183,0.964,0.984
184,0.964,0.988
185,0.972,0.988
186,0.972,0.996
187,0.992,0.996
188,0.992,1.0
189,1.0,1.0
